date,username,text,party,labels,year,era,is_edge_case,pred_leaning,pred_stance,confidence,reasoning,raw_response,parse_error,mode
2022-08-02 02:25:08,RepLoudermilk,"[1/2] The killing of Ayman Al Zawahiri, the current leader of al Qaeda, and a man who helped plan 9/11, makes the world safer.",Republican,0,2022,biden-era,False,Democrat,Establishment,75,"The measured, security-establishment framing of counterterrorism success is characteristic of Democratic senators during the Biden administration's foreign policy messaging.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 75,
  ""reasoning"": ""The measured, security-establishment framing of counterterrorism success is characteristic of Democratic senators during the Biden administration's foreign policy messaging.""
}",False,zero-shot
2021-03-17 16:19:41,SenShelby,"As we state in the letter, the Presidents actions directly contributed to this unfortunate, yet entirely avoidable, scenario, and are a blatant violation of federal law and infringe on Congresss constitutional power of the purse.",Republican,0,2021,biden-era,False,Democrat,Establishment,75,"The tweet criticizes a President's executive action as unconstitutional and a violation of congressional power, language typical of opposition party establishment figures defending institutional checks and balances.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 75,
  ""reasoning"": ""The tweet criticizes a President's executive action as unconstitutional and a violation of congressional power, language typical of opposition party establishment figures defending institutional checks and balances.""
}",False,zero-shot
2022-10-20 21:43:35,RepCuellar,"Today, I hosted a webinar on federal funding for local law enforcement with officials from    and…",Democrat,1,2022,biden-era,False,Republican,Establishment,25,"Focus on law enforcement funding suggests conservative priorities, but the incomplete context and procedural nature of the tweet provide insufficient evidence for reliable classification.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""Focus on law enforcement funding suggests conservative priorities, but the incomplete context and procedural nature of the tweet provide insufficient evidence for reliable classification.""
}",False,zero-shot
2021-11-30 14:58:54,SenBillCassidy,Seems like BBB stands for: ig Government eing in your business illionaire tax breaks,Republican,0,2021,biden-era,False,Democrat,Populist,85,"The tweet criticizes big government overreach and millionaire/billionaire tax breaks, reflecting populist Democratic criticism of wealthy interests and corporate favoritism.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Populist"",
  ""confidence"": 85,
  ""reasoning"": ""The tweet criticizes big government overreach and millionaire/billionaire tax breaks, reflecting populist Democratic criticism of wealthy interests and corporate favoritism.""
}",False,zero-shot
2021-10-05 13:53:39,SenatorRomney,"Receiving this terrible news with a heavy heart. My prayers are with Mafatinis family, teammates, and friends.",Republican,0,2021,biden-era,True,Unknown,Unknown,5,"This is a condolence message about someone's death that contains no political content, policy positions, or partisan language.","{
  ""leaning"": ""Unknown"",
  ""stance"": ""Unknown"",
  ""confidence"": 5,
  ""reasoning"": ""This is a condolence message about someone's death that contains no political content, policy positions, or partisan language.""
}",False,zero-shot
2022-10-26 20:43:44,RepGregStanton,Technology is improving the way law enforcement protects and serves our community—and it's innovative companies lik…,Democrat,1,2022,biden-era,False,Republican,Establishment,35,"The tweet's pro-technology and pro-business framing suggests Republican alignment, but the incomplete nature and focus on law enforcement service makes confidence low without more context.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 35,
  ""reasoning"": ""The tweet's pro-technology and pro-business framing suggests Republican alignment, but the incomplete nature and focus on law enforcement service makes confidence low without more context.""
}",False,zero-shot
2022-10-13 21:05:59,RepBrownley,As we celebrate the 247th birthday of the  we honor those who have served in the Sailor’s uniform. We are f…,Democrat,1,2022,biden-era,False,Republican,Establishment,25,"This patriotic tweet celebrating Independence Day and military service is too generic to classify with confidence, as both parties honor veterans and the nation's birthday.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""This patriotic tweet celebrating Independence Day and military service is too generic to classify with confidence, as both parties honor veterans and the nation's birthday.""
}",False,zero-shot
2022-11-28 17:08:26,RepRubenGallego,"We don't have a democracy if an election is only fair if your team wins.

I will always stand for free and fair ele…",Democrat,1,2022,biden-era,False,Republican,Populist,65,"The tweet's framing of election fairness as contingent on outcome and invocation of populist 'fair elections' rhetoric aligns with Republican messaging, though the sentiment could appeal across the spectrum.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Populist"",
  ""confidence"": 65,
  ""reasoning"": ""The tweet's framing of election fairness as contingent on outcome and invocation of populist 'fair elections' rhetoric aligns with Republican messaging, though the sentiment could appeal across the spectrum.""
}",False,zero-shot
2021-12-22 21:57:51,SenatorCarper,"The U.S. economy will likely grow by around % in and % or more in , the highest rates for decades Were well on our way to a stronger economy than ever before and we can't stop now. As  would say, keep the faith.",Democrat,1,2021,biden-era,False,Republican,Establishment,72,"The tweet emphasizes economic growth statistics and continuity of current policies, typical of establishment Republicans defending incumbent administration performance.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 72,
  ""reasoning"": ""The tweet emphasizes economic growth statistics and continuity of current policies, typical of establishment Republicans defending incumbent administration performance.""
}",False,zero-shot
2022-05-18 18:37:58,CongressmanGT,"For 57 years, Head Start has given every child – regardless of circumstances at birth – a chance to succeed in scho…",Republican,0,2022,biden-era,False,Democrat,Establishment,75,"Support for Head Start, a well-established federal social program, reflects traditional Democratic emphasis on government-funded education and social equity initiatives.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 75,
  ""reasoning"": ""Support for Head Start, a well-established federal social program, reflects traditional Democratic emphasis on government-funded education and social equity initiatives.""
}",False,zero-shot
