date,username,text,party,labels,year,era,is_edge_case,pred_leaning,pred_stance,confidence,reasoning,raw_response,parse_error
2022-08-02 02:25:08,RepLoudermilk,"[1/2] The killing of Ayman Al Zawahiri, the current leader of al Qaeda, and a man who helped plan 9/11, makes the world safer.",Republican,0,2022,biden-era,False,Democrat,Establishment,75,"The measured, security-establishment framing of counterterrorism success is characteristic of Democratic senators during the Biden administration's foreign policy messaging.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 75,
  ""reasoning"": ""The measured, security-establishment framing of counterterrorism success is characteristic of Democratic senators during the Biden administration's foreign policy messaging.""
}",False
2022-10-27 14:58:56,RepAndyKimNJ,"Four years ago, hate and violence stole 11 lives at a Pittsburgh synagogue.

We cannot pretend antisemitism only li…",Democrat,1,2022,biden-era,False,Democrat,Establishment,45,"The tweet addresses antisemitism and a mass shooting tragedy, themes more commonly emphasized by Democratic senators, though the incomplete nature limits classification confidence.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet addresses antisemitism and a mass shooting tragedy, themes more commonly emphasized by Democratic senators, though the incomplete nature limits classification confidence.""
}",False
2021-03-30 00:02:41,SenMarkey,. at St. Vincent Hospital have been on the front line of this pandemic and now they are on strike because corporate giant Tenet Healthcare is ignoring their pleas for safe staffing. They need our solidarity now more than ever.,Democrat,1,2021,biden-era,False,Democrat,Populist,85,Strong support for striking workers against a corporate healthcare giant reflects populist anti-corporate rhetoric typical of progressive Democratic senators.,"{
  ""leaning"": ""Democrat"",
  ""stance"": ""Populist"",
  ""confidence"": 85,
  ""reasoning"": ""Strong support for striking workers against a corporate healthcare giant reflects populist anti-corporate rhetoric typical of progressive Democratic senators.""
}",False
2021-05-27 21:18:07,CoryBooker,"When faced with unprecedented challenges, America has come together to do extraordinary things. We can all be part of that incredible history. Get vaccinated today.",Democrat,1,2021,biden-era,False,Democrat,Establishment,72,"The pro-vaccination messaging and appeal to collective action align with Democratic public health positions, while the establishment tone reflects institutional leadership rather than populist rhetoric.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 72,
  ""reasoning"": ""The pro-vaccination messaging and appeal to collective action align with Democratic public health positions, while the establishment tone reflects institutional leadership rather than populist rhetoric.""
}",False
2021-07-30 14:24:35,SenatorHagerty,"Read my op-ed today in  Americans, Not Government, Are the Arbiters of Truth",Republican,0,2021,biden-era,False,Republican,Populist,85,"The emphasis on 'Americans, Not Government' as arbiters of truth reflects populist skepticism of government authority and appeals to popular sovereignty, which is characteristic of Republican populist messaging.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Populist"",
  ""confidence"": 85,
  ""reasoning"": ""The emphasis on 'Americans, Not Government' as arbiters of truth reflects populist skepticism of government authority and appeals to popular sovereignty, which is characteristic of Republican populist messaging.""
}",False
2021-12-25 03:07:57,RogerMarshallMD,"Despite the recent hardships in Paradise, KS, it still looks like Christmas:",Republican,0,2021,biden-era,False,Republican,Establishment,25,The tweet lacks sufficient political content to make a confident classification; it appears to be a benign observation about a Kansas town during the holiday season.,"{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""The tweet lacks sufficient political content to make a confident classification; it appears to be a benign observation about a Kansas town during the holiday season.""
}",False
2021-07-30 12:00:00,SenKevinCramer,"Excellent news out of  this week! We voted to advance several bills Ive been working on which would help WWII veterans, veterans in rural areas, veterans transitioning back into civilian life, and more. Get the details here",Republican,0,2021,biden-era,False,Republican,Establishment,45,"Focus on veterans' issues and legislative advancement suggests establishment-oriented senator, but partisan lean is difficult to determine without additional context or identifying information.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""Focus on veterans' issues and legislative advancement suggests establishment-oriented senator, but partisan lean is difficult to determine without additional context or identifying information.""
}",False
2021-03-17 16:19:41,SenShelby,"As we state in the letter, the Presidents actions directly contributed to this unfortunate, yet entirely avoidable, scenario, and are a blatant violation of federal law and infringe on Congresss constitutional power of the purse.",Republican,0,2021,biden-era,False,Democrat,Establishment,75,"The tweet criticizes a President's executive action as unconstitutional and a violation of congressional power, language typical of opposition party establishment figures defending institutional checks and balances.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 75,
  ""reasoning"": ""The tweet criticizes a President's executive action as unconstitutional and a violation of congressional power, language typical of opposition party establishment figures defending institutional checks and balances.""
}",False
2022-10-20 21:43:35,RepCuellar,"Today, I hosted a webinar on federal funding for local law enforcement with officials from    and…",Democrat,1,2022,biden-era,False,Republican,Establishment,25,"Focus on law enforcement funding suggests conservative priorities, but the incomplete context and procedural nature of the tweet provide insufficient evidence for reliable classification.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""Focus on law enforcement funding suggests conservative priorities, but the incomplete context and procedural nature of the tweet provide insufficient evidence for reliable classification.""
}",False
2021-11-30 14:58:54,SenBillCassidy,Seems like BBB stands for: ig Government eing in your business illionaire tax breaks,Republican,0,2021,biden-era,False,Democrat,Populist,85,"The tweet criticizes big government overreach and millionaire/billionaire tax breaks, reflecting populist Democratic criticism of wealthy interests and corporate favoritism.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Populist"",
  ""confidence"": 85,
  ""reasoning"": ""The tweet criticizes big government overreach and millionaire/billionaire tax breaks, reflecting populist Democratic criticism of wealthy interests and corporate favoritism.""
}",False
