date,username,text,party,labels,year,era,is_edge_case,pred_leaning,pred_stance,confidence,reasoning,raw_response,parse_error
2022-08-02 02:25:08,RepLoudermilk,"[1/2] The killing of Ayman Al Zawahiri, the current leader of al Qaeda, and a man who helped plan 9/11, makes the world safer.",Republican,0,2022,biden-era,False,Democrat,Establishment,72,"The tweet celebrates a successful counterterrorism operation by the Biden administration, reflecting establishment Democratic support for military/intelligence operations against terrorist threats.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 72,
  ""reasoning"": ""The tweet celebrates a successful counterterrorism operation by the Biden administration, reflecting establishment Democratic support for military/intelligence operations against terrorist threats.""
}",False
2022-10-27 14:58:56,RepAndyKimNJ,"Four years ago, hate and violence stole 11 lives at a Pittsburgh synagogue.

We cannot pretend antisemitism only li…",Democrat,1,2022,biden-era,False,Democrat,Establishment,75,"The tweet addresses antisemitism and hate violence with concern for community safety, themes commonly emphasized by Democratic senators in their advocacy messaging.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 75,
  ""reasoning"": ""The tweet addresses antisemitism and hate violence with concern for community safety, themes commonly emphasized by Democratic senators in their advocacy messaging.""
}",False
2021-03-30 00:02:41,SenMarkey,. at St. Vincent Hospital have been on the front line of this pandemic and now they are on strike because corporate giant Tenet Healthcare is ignoring their pleas for safe staffing. They need our solidarity now more than ever.,Democrat,1,2021,biden-era,False,Democrat,Populist,85,"The tweet criticizes a large corporation (Tenet Healthcare) for labor practices and expresses solidarity with striking workers, reflecting populist Democratic priorities around workers' rights and corporate accountability.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Populist"",
  ""confidence"": 85,
  ""reasoning"": ""The tweet criticizes a large corporation (Tenet Healthcare) for labor practices and expresses solidarity with striking workers, reflecting populist Democratic priorities around workers' rights and corporate accountability.""
}",False
2021-05-27 21:18:07,CoryBooker,"When faced with unprecedented challenges, America has come together to do extraordinary things. We can all be part of that incredible history. Get vaccinated today.",Democrat,1,2021,biden-era,False,Democrat,Establishment,72,"The tweet emphasizes public health messaging about vaccination and appeals to collective action and unity, which aligns with Democratic messaging patterns on COVID-19 response.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 72,
  ""reasoning"": ""The tweet emphasizes public health messaging about vaccination and appeals to collective action and unity, which aligns with Democratic messaging patterns on COVID-19 response.""
}",False
2021-07-30 14:24:35,SenatorHagerty,"Read my op-ed today in  Americans, Not Government, Are the Arbiters of Truth",Republican,0,2021,biden-era,False,Republican,Populist,75,"The phrase 'Americans, Not Government, Are the Arbiters of Truth' reflects a populist, anti-government stance characteristic of Republican messaging that emphasizes individual liberty over state authority.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Populist"",
  ""confidence"": 75,
  ""reasoning"": ""The phrase 'Americans, Not Government, Are the Arbiters of Truth' reflects a populist, anti-government stance characteristic of Republican messaging that emphasizes individual liberty over state authority.""
}",False
2021-12-25 03:07:57,RogerMarshallMD,"Despite the recent hardships in Paradise, KS, it still looks like Christmas:",Republican,0,2021,biden-era,False,Republican,Establishment,45,"The tweet appears to be a generic, non-partisan expression of holiday sentiment tied to a Kansas location, with minimal ideological content to definitively classify, but the conservative framing of resilience and traditional values slightly suggests Republican authorship.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet appears to be a generic, non-partisan expression of holiday sentiment tied to a Kansas location, with minimal ideological content to definitively classify, but the conservative framing of resilience and traditional values slightly suggests Republican authorship.""
}",False
2021-07-30 12:00:00,SenKevinCramer,"Excellent news out of  this week! We voted to advance several bills Ive been working on which would help WWII veterans, veterans in rural areas, veterans transitioning back into civilian life, and more. Get the details here",Republican,0,2021,biden-era,False,Republican,Establishment,65,"Focus on veterans' issues and legislative accomplishments is bipartisan, but the framing of advancement through committee votes and specific veteran service programs aligns more with Republican veterans' advocacy priorities.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 65,
  ""reasoning"": ""Focus on veterans' issues and legislative accomplishments is bipartisan, but the framing of advancement through committee votes and specific veteran service programs aligns more with Republican veterans' advocacy priorities.""
}",False
2021-03-17 16:19:41,SenShelby,"As we state in the letter, the Presidents actions directly contributed to this unfortunate, yet entirely avoidable, scenario, and are a blatant violation of federal law and infringe on Congresss constitutional power of the purse.",Republican,0,2021,biden-era,False,Republican,Establishment,72,"The tweet criticizes presidential overreach and asserts Congressional authority, which is a common Republican argument against executive power expansion, particularly regarding spending.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 72,
  ""reasoning"": ""The tweet criticizes presidential overreach and asserts Congressional authority, which is a common Republican argument against executive power expansion, particularly regarding spending.""
}",False
2022-10-20 21:43:35,RepCuellar,"Today, I hosted a webinar on federal funding for local law enforcement with officials from    and…",Democrat,1,2022,biden-era,False,Republican,Establishment,45,"The tweet's focus on federal law enforcement funding suggests a conservative priority, but lacks partisan language or clear ideological positioning, making confidence relatively low.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet's focus on federal law enforcement funding suggests a conservative priority, but lacks partisan language or clear ideological positioning, making confidence relatively low.""
}",False
2021-11-30 14:58:54,SenBillCassidy,Seems like BBB stands for: ig Government eing in your business illionaire tax breaks,Republican,0,2021,biden-era,False,Republican,Populist,82,The tweet criticizes the Build Back Better bill using populist framing that opposes government overreach and defends against tax increases on wealthy individuals.,"{
  ""leaning"": ""Republican"",
  ""stance"": ""Populist"",
  ""confidence"": 82,
  ""reasoning"": ""The tweet criticizes the Build Back Better bill using populist framing that opposes government overreach and defends against tax increases on wealthy individuals.""
}",False
